month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,Lubbock,LBB,TX,Lubbock Preston Smith International,369,95,30.49,4.8,17.58,0,42.12,7,4,5037,1195,1366,663,0,1813
1,Madison,MSN,WI,Dane County Regional-Truax Field,625,146,58.78,3.14,37.65,0,46.42,15,0,9784,5021,181,1301,0,3281
1,Mammoth Lakes,MMH,CA,Mammoth Lakes Airport,31,3,1.31,0,1.15,0,0.54,15,1,74,35,0,28,0,11
1,Manchester,MHT,NH,Manchester-Boston Regional,503,120,40.83,0.8,16.88,1.04,60.45,12,0,6983,2780,155,547,57,3444
1,Marquette,MQT,MI,Sawyer International,58,16,6.1,0.88,5.15,0,3.87,5,1,850,355,104,178,0,213
1,Medford,MFR,OR,Rogue Valley International - Medford,211,62,15.04,5.1,14.92,0,26.95,11,2,4498,1192,478,763,0,2065
1,Melbourne,MLB,FL,Melbourne International,114,19,8.39,3,3.7,0,3.91,0,0,2489,1059,1007,279,0,144
1,Memphis,MEM,TN,Memphis International,1166,226,87.1,10.86,44.15,1,82.89,27,1,13765,5638,834,1856,29,5408
1,Meridian,MEI,MS,Key Field,84,16,4.92,0,4.48,0,6.6,3,0,1025,492,0,190,0,343
1,Miami,MIA,FL,Miami International,5943,1096,368.12,42.78,389.39,4.76,290.94,51,15,69900,28137,3939,14026,126,23672
1,Midland/Odessa,MAF,TX,Midland International Air and Space Port,464,118,34.86,3.09,36.18,0,43.89,7,0,4813,1735,139,1082,0,1857
1,Milwaukee,MKE,WI,General Mitchell International,2530,493,147.46,21.32,106.03,1.52,216.68,37,12,29798,9857,2144,4109,34,13654
1,Minneapolis,MSP,MN,Minneapolis-St Paul International,9632,1766,499.37,85.72,490.2,1.91,688.82,101,13,134125,54212,7934,21094,61,50824
1,Minot,MOT,ND,Minot International,84,9,1.87,0,2.29,0,4.84,0,1,861,246,0,97,0,518
1,Mission/McAllen/Edinburg,MFE,TX,McAllen Miller International,158,22,9.09,1,6.82,0,5.09,1,2,1975,700,687,240,0,348
1,Missoula,MSO,MT,Missoula International,142,20,4.95,0,5.65,0,9.41,4,5,1126,324,0,185,0,617
1,Mobile,MOB,AL,Mobile Regional,434,83,29.93,1.3,11.68,0,40.08,10,0,6467,2496,447,579,0,2945
1,Moline,MLI,IL,Quad City International,226,44,20.42,0,9.23,0,14.35,3,1,2597,1342,0,360,0,895
1,Monroe,MLU,LA,Monroe Regional,252,63,27.09,0.13,14.69,0,21.09,5,1,6355,3669,2,411,0,2273
1,Monterey,MRY,CA,Monterey Regional,248,63,13.17,0,14.97,0,34.86,7,1,3850,683,0,484,0,2683
1,Montgomery,MGM,AL,Montgomery Regional,185,42,23.96,0,3.16,0,14.88,6,1,3234,1980,0,93,0,1161
1,Montrose/Delta,MTJ,CO,Montrose Regional,147,34,10.22,1,12.6,0,10.18,4,1,2049,570,52,545,0,882
1,Mosinee,CWA,WI,Central Wisconsin,61,9,0.96,0,3.16,0,4.89,5,0,644,85,0,88,0,471
1,Muskegon,MKG,MI,Muskegon County,58,5,2,0,2.16,0,0.84,14,1,201,135,0,50,0,16
1,Myrtle Beach,MYR,SC,Myrtle Beach International,264,40,13.66,0.83,20.78,0,4.74,16,0,2385,815,171,1028,0,371
1,Nashville,BNA,TN,Nashville International,4236,783,261.72,25.91,129.53,2.05,363.82,48,3,43784,15910,2250,5052,69,20503
1,New Bern/Morehead/Beaufort,EWN,NC,Coastal Carolina Regional,56,9,7.67,0,0.03,0,1.3,3,0,578,515,0,2,0,61
1,New Orleans,MSY,LA,Louis Armstrong New Orleans International,3526,676,201.79,17.98,164.53,1.19,290.51,36,2,37035,11282,1694,7023,56,16980
1,New York,JFK,NY,John F. Kennedy International,7730,1665,504.13,51.34,516.05,3.65,589.82,124,14,130701,38906,4773,34510,194,52318
